country,purchasing_power_parity,foreign_exchangegold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_usable,total_population,available_manpower,fitforservice,reaching_mil_age_annually,active_personnel,reserve_personnel,paramilitary,air_force_personnel,army_personnel,navy_personnel,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_fixedwing,trainers,specialmission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,selfpropelled_artillery,towed_artillery,mlrs_rocket_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,natgas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports__trade_terminals,airports,roadway_coverage,railway_coverage,pwr_index
Cuba,"$81,165,000,000 USD","$10,442,000,000 USD","$3,301,500,000 USD","$36,372,600,000 USD","110,860 km","3,735 km",29 km,240 km,"10,966,038","5,921,661","4,737,328","142,558","50,000","40,000","1,145,000","4,120","90,000","3,550","140,758","Stock: 20			
Readiness: 9*","Stock: 11 (55.0%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (20.0%)

Readiness: 2*","Stock: 3 (15.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (65.0%)

Readiness: 6*","Stock: 4 (20.0%)

Readiness: 2*","Stock: 194				
Readiness: 107*","Stock: 7,792            	
Readiness: 4,286*","Stock: 140				
Readiness: 77*","Stock: 364				
Readiness: 200*","Stock: 200				
Readiness: 110*",0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,"34,000 bbl","118,000 bbl","-84,000 bbl","124,000,000 bbl","659,434,000 cu.m","659,434,000 cu.m",0 cu.m,"70,792,000,000 cu.m",0 mt,"1,000 mt","-1,000 mt",0 mt,71.0%,"489,000",65,34,120,"60,000 km","8,367 km",1.3345
Sudan,"$94,420,000,000 USD","$192,348,850 USD","$394,700,000 USD","$21,650,000,000 USD","1,861,484 km",853 km,"6,819 km","4,068 km","50,467,278","26,747,657","17,108,407","1,312,149","300,000","200,000","17,500","13,000","485,500","2,000","1,295,584","Stock: 183			
Readiness: 92*","Stock: 37 (20.2%)

Readiness: 19*","Stock: 36 (19.7%)

Readiness: 18*","Stock: 13 (7.1%)

Readiness: 7*","Stock: 33 (18.0%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 64 (35.0%)

Readiness: 32*","Stock: 35 (19.1%)

Readiness: 18*","Stock: 1,055				
Readiness: 580*","Stock: 8,890            	
Readiness: 4,890*","Stock: 100				
Readiness: 55*","Stock: 1,150				
Readiness: 633*","Stock: 800				
Readiness: 440*",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,"68,000 bbl","129,000 bbl","-61,000 bbl","1,250,000,000 bbl",0 cu.m,0 cu.m,0 cu.m,"84,951,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,26.0%,"10,949,000",14,4,45,"31,000 km","7,251 km",1.3563
Austria,"$581,131,000,000 USD","$35,406,000,000 USD","$6,103,900,800 USD","$693,000,000,000 USD","83,871 km",LANDLOCKED,"2,524 km",358 km,"8,967,982","4,035,592","3,632,033","98,648","25,000","125,600",0,"4,300","141,000",0,"97,403","Stock: 90			
Readiness: 68*","Stock: 15 (16.7%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (12.2%)

Readiness: 8*","Stock: 23 (25.6%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 41 (45.6%)

Readiness: 31*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 56				
Readiness: 42*","Stock: 5,160            	
Readiness: 3,870*","Stock: 30				
Readiness: 23*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",,,,,,,,,"18,000 bbl","244,000 bbl","-226,000 bbl","35,200,000 bbl","618,209,000 cu.m","8,136,000,000 cu.m","-7,517,791,000 cu.m","5,040,000,000 cu.m","1,288,000 mt","5,403,000 mt","-4,115,000 mt",0 mt,95.0%,"4,768,000",1,0,62,"126,233 km","6,123 km",1.3759
Sri Lanka,"$301,407,000,000 USD","$6,094,000,000 USD","$1,500,000,000 USD","$42,198,000,000 USD","65,610 km","1,340 km",NONE - ISLAND,160 km,"21,982,608","10,551,652","8,551,235","307,757","346,000","90,000",0,"26,000","150,000","40,000","303,872","Stock: 90			
Readiness: 50*","Stock: 6 (6.7%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (16.7%)

Readiness: 8*","Stock: 7 (7.8%)

Readiness: 4*","Stock: 3 (3.3%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 49 (54.4%)

Readiness: 27*","Stock: 8 (8.9%)

Readiness: 4*","Stock: 87				
Readiness: 52*","Stock: 15,021            	
Readiness: 9,013*","Stock: 0				
Readiness: 0*","Stock: 96				
Readiness: 58*","Stock: 28				
Readiness: 17*",0.0,0.0,0.0,5.0,0.0,0.0,259.0,0.0,0 bbl,"100,000 bbl","-100,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,"2,323,000 mt","-2,323,000 mt",0 mt,51.0%,"8,499,000",96,6,18,"114,093 km","1,562 km",1.3822
Slovakia,"$218,762,000,000 USD","$14,452,000,000 USD","$2,900,000,000 USD","$140,360,000,000 USD","49,035 km",LANDLOCKED,"1,587 km",172 km,"5,563,649","2,837,461","2,353,424","61,200","20,982",0,0,"3,200","18,282",0,"60,427","Stock: 48			
Readiness: 31*","Stock: 7 (14.6%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (14.6%)

Readiness: 5*","Stock: 11 (22.9%)

Readiness: 7*","Stock: 1 (2.1%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 22 (45.8%)

Readiness: 14*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 45				
Readiness: 32*","Stock: 6,636            	
Readiness: 4,645*","Stock: 35				
Readiness: 25*","Stock: 9				
Readiness: 6*","Stock: 25				
Readiness: 18*",,,,,,,,,"7,000 bbl","90,000 bbl","-83,000 bbl","9,000,000 bbl","52,556,000 cu.m","60,424,000 cu.m","-7,868,000 cu.m","14,158,000,000 cu.m","2,315,000 mt","6,066,000 mt","-3,751,000 mt","19,000,000 mt",90.0%,"2,779,000",0,0,116,"45,106 km","3,627 km",1.3911
Belarus,"$265,220,000,000 USD","$8,912,000,000 USD","$1,034,784,000 USD","$18,010,000,000 USD","207,600 km",LANDLOCKED,"3,599 km","2,500 km","9,501,451","5,035,769","3,724,569","104,516","63,000","365,400","55,000","11,300","18,000",0,"103,197","Stock: 194			
Readiness: 107*","Stock: 43 (22.2%)

Readiness: 24*","Stock: 50 (25.8%)

Readiness: 28*","Stock: 4 (2.1%)

Readiness: 2*","Stock: 27 (13.9%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 70 (36.1%)

Readiness: 39*","Stock: 31 (16.0%)

Readiness: 17*","Stock: 577				
Readiness: 375*","Stock: 6,820            	
Readiness: 4,433*","Stock: 357				
Readiness: 232*","Stock: 190				
Readiness: 124*","Stock: 206				
Readiness: 134*",,,,,,,,,"30,000 bbl","125,000 bbl","-95,000 bbl","198,000,000 bbl","73,929,000 cu.m","16,683,000,000 cu.m","-16,609,071,000 cu.m","2,832,000,000 cu.m",0 mt,"710,000 mt","-710,000 mt",0 mt,92.0%,"4,817,000",4,0,46,"86,600 km","5,528 km",1.4072
Qatar,"$317,064,000,000 USD","$53,987,000,000 USD","$11,950,000,000 USD","$205,700,000,000 USD","11,586 km",563 km,87 km,0 km,"2,552,088","638,022","490,001","12,760","26,550","4,000","5,500","2,000","12,500","2,500","12,599","Stock: 263			
Readiness: 171*","Stock: 115 (43.7%)

Readiness: 75*","Stock: 6 (2.3%)

Readiness: 4*","Stock: 12 (4.6%)

Readiness: 8*","Stock: 45 (17.1%)

Readiness: 29*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 85 (32.3%)

Readiness: 55*","Stock: 24 (9.1%)

Readiness: 16*","Stock: 62				
Readiness: 40*","Stock: 5,576            	
Readiness: 3,624*","Stock: 46				
Readiness: 30*","Stock: 12				
Readiness: 8*","Stock: 16				
Readiness: 10*",0.0,0.0,0.0,0.0,4.0,0.0,107.0,0.0,"1,818,000 bbl","268,000 bbl","+1,550,000 bbl","25,244,000 bbl","169,595,000,000 cu.m","41,515,000,000 cu.m","+128,080,000,000 cu.m","23,861,000,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,100.0%,"2,123,000",123,6,8,"7,039 km",0 km,1.4096
Ecuador,"$252,728,000,000 USD","$6,908,000,000 USD","$2,963,400,000 USD","$39,658,000,000 USD","283,560 km","2,237 km","2,237 km","1,500 km","18,309,984","8,422,593","6,738,074","329,580","41,250","118,000","1,500","6,200","25,650","9,400","325,419","Stock: 99			
Readiness: 64*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (20.2%)

Readiness: 13*","Stock: 34 (34.3%)

Readiness: 22*","Stock: 8 (8.1%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 43 (43.4%)

Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 202				
Readiness: 121*","Stock: 5,322            	
Readiness: 3,193*","Stock: 5				
Readiness: 3*","Stock: 106				
Readiness: 64*","Stock: 24				
Readiness: 14*",0.0,0.0,0.0,2.0,6.0,2.0,5.0,0.0,"480,000 bbl","272,000 bbl","+208,000 bbl","8,273,000,000 bbl","309,778,000 cu.m","309,778,000 cu.m",0 cu.m,"10,902,000,000 cu.m",0 mt,"14,000 mt","-14,000 mt","24,000,000 mt",77.0%,"8,821,000",154,6,317,"43,950 km",965 km,1.4479
Croatia,"$164,825,000,000 USD","$3,336,000,000 USD","$2,744,000,000 USD","$60,500,000,000 USD","56,594 km","5,835 km","2,237 km","4,714 km","4,150,116","2,033,557","1,564,594","53,952","14,325","20,100","2,000","1,500","7,000","1,365","53,271","Stock: 67			
Readiness: 50*","Stock: 12 (17.9%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 26 (38.8%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 37 (55.2%)

Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 55				
Readiness: 44*","Stock: 4,874            	
Readiness: 3,899*","Stock: 25				
Readiness: 20*","Stock: 42				
Readiness: 34*","Stock: 42				
Readiness: 34*",0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,"11,000 bbl","70,000 bbl","-59,000 bbl","71,000,000 bbl","741,456,000 cu.m","2,502,000,000 cu.m","-1,760,544,000 cu.m","24,919,000,000 cu.m",0 mt,"596,000 mt","-596,000 mt",0 mt,83.0%,"1,733,000",384,16,45,"26,958 km","2,617 km",1.5432
Jordan,"$109,986,000,000 USD","$21,939,000,000 USD","$2,668,500,000 USD","$21,058,000,000 USD","89,342 km",26 km,"1,744 km",0 km,"11,174,024","3,463,947","2,983,464","145,262","114,500","100,000","35,000","14,000","146,000","5,500","143,428","Stock: 279			
Readiness: 181*","Stock: 44 (15.8%)

Readiness: 29*","Stock: 10 (3.6%)

Readiness: 7*","Stock: 12 (4.3%)

Readiness: 8*","Stock: 66 (23.7%)

Readiness: 43*","Stock: 11 (3.9%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 159 (57.0%)

Readiness: 103*","Stock: 44 (15.8%)

Readiness: 29*","Stock: 1,508				
Readiness: 980*","Stock: 25,278            	
Readiness: 16,431*","Stock: 478				
Readiness: 311*","Stock: 80				
Readiness: 52*","Stock: 84				
Readiness: 55*",0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,20 bbl,"97,000 bbl","-96,980 bbl","1,000,000 bbl","187,262,000 cu.m","4,382,000,000 cu.m","-4,194,738,000 cu.m","6,031,000,000 cu.m",0 mt,"269,000 mt","-269,000 mt",0 mt,93.0%,"3,080,000",34,1,18,"7,203 km",509 km,1.5581
Bahrain,"$93,937,000,000 USD","$4,949,000,000 USD","$997,015,509 USD","$54,450,000,000 USD",760 km,161 km,NONE - ISLAND,0 km,"1,566,888","846,120","720,768","17,236","18,400","110,000","1,500","1,500","130,000",700,"17,018","Stock: 137			
Readiness: 69*","Stock: 28 (20.4%)

Readiness: 14*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (2.2%)

Readiness: 2*","Stock: 40 (29.2%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 66 (48.2%)

Readiness: 33*","Stock: 34 (24.8%)

Readiness: 17*","Stock: 150				
Readiness: 90*","Stock: 5,196            	
Readiness: 3,118*","Stock: 38				
Readiness: 23*","Stock: 26				
Readiness: 16*","Stock: 18				
Readiness: 11*",0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,"190,000 bbl","72,000 bbl","+118,000 bbl","186,500,000 bbl","18,005,000,000 cu.m","17,924,000,000 cu.m","+81,000,000 cu.m","81,382,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,100.0%,"913,300",184,4,3,"4,122 km",0 km,1.6731
Kuwait,"$225,947,000,000 USD","$50,728,000,000 USD","$7,987,000,000 USD","$60,500,000,000 USD","17,818 km",499 km,475 km,0 km,"3,138,355","1,726,095","1,449,920","37,660","78,000","24,000","7,500","2,500","103,000","4,000","37,185","Stock: 133			
Readiness: 80*","Stock: 47 (35.3%)

Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (1.5%)

Readiness: 1*","Stock: 13 (9.8%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (2.3%)

Readiness: 2*","Stock: 68 (51.1%)

Readiness: 41*","Stock: 16 (12.0%)

Readiness: 10*","Stock: 367				
Readiness: 220*","Stock: 7,472            	
Readiness: 4,483*","Stock: 51				
Readiness: 31*","Stock: 0				
Readiness: 0*","Stock: 27				
Readiness: 16*",0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,"2,910,000 bbl","430,000 bbl","+2,480,000 bbl","101,500,000,000 bbl","19,285,000,000 cu.m","26,083,000,000 cu.m","-6,798,000,000 cu.m","1,784,000,000,000 cu.m",0 mt,"60,000 mt","-60,000 mt",0 mt,100.0%,"3,003,000",176,6,6,"5,749 km",0 km,1.7161
Albania,"$51,360,000,000 USD","$6,516,000,000 USD","$720,037,190 USD","$5,363,000,000 USD","28,748 km",362 km,691 km,41 km,"3,107,100","1,522,479","1,292,554","62,142","7,500",0,500,650,"2,335","1,000","61,357","Stock: 20			
Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (5.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 19 (95.0%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 1,492            	
Readiness: 970*","Stock: 10				
Readiness: 7*","Stock: 0				
Readiness: 0*","Stock: 270				
Readiness: 176*",0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,"14,000 bbl","21,000 bbl","-7,000 bbl","150,000,000 bbl","50,623,000 cu.m","50,623,000 cu.m",0 cu.m,"5,692,000,000 cu.m","473,000 mt","255,000 mt","+218,000 mt","522,000,000 mt",83.0%,"1,370,000",69,3,3,"3,581 km",424 km,1.7258
Turkmenistan,"$134,555,000,000 USD","$21,073,860,000 USD","$1,463,000,000 USD","$3,696,000,000 USD","488,100 km","1,768 km","4,158 km","1,300 km","5,744,151","2,768,681","2,245,963","109,139","36,500",0,"3,500","3,000","42,760","2,000","107,761","Stock: 91			
Readiness: 55*","Stock: 22 (24.2%)

Readiness: 13*","Stock: 27 (29.7%)

Readiness: 16*","Stock: 5 (5.5%)

Readiness: 3*","Stock: 11 (12.1%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 26 (28.6%)

Readiness: 16*","Stock: 10 (11.0%)

Readiness: 6*","Stock: 654				
Readiness: 392*","Stock: 11,588            	
Readiness: 6,953*","Stock: 73				
Readiness: 44*","Stock: 457				
Readiness: 274*","Stock: 164				
Readiness: 98*",0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,"272,000 bbl","152,000 bbl","+120,000 bbl","600,000,000 bbl","86,472,000,000 cu.m","41,561,000,000 cu.m","+44,911,000,000 cu.m","11,327,000,000,000 cu.m",0 mt,0 mt,0 mt,"799,999,000 mt",21.0%,"2,445,000",73,0,23,"58,592 km","5,113 km",1.7459
Tunisia,"$156,086,000,000 USD","$9,344,000,000 USD","$2,172,751,250 USD","$21,212,000,000 USD","163,610 km","1,148 km","1,495 km",0 km,"12,048,847","6,024,424","5,181,004","204,830","89,800",0,"12,000","4,500","150,000","5,000","202,244","Stock: 155			
Readiness: 93*","Stock: 10 (6.5%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (7.7%)

Readiness: 7*","Stock: 28 (18.1%)

Readiness: 17*","Stock: 4 (2.6%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 101 (65.2%)

Readiness: 61*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 145				
Readiness: 87*","Stock: 13,927            	
Readiness: 8,356*","Stock: 0				
Readiness: 0*","Stock: 105				
Readiness: 63*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,"35,000 bbl","104,000 bbl","-69,000 bbl","425,000,000 bbl","1,323,000,000 cu.m","5,153,000,000 cu.m","-3,830,000,000 cu.m","65,129,000,000 cu.m",0 mt,"2,000 mt","-2,000 mt",0 mt,72.0%,"4,247,000",72,16,14,"32,332 km","2,173 km",1.7823
Libya,"$90,609,000,000 USD","$92,894,000,000 USD","$1,474,800,000 USD","$3,654,200,000 USD","1,759,540 km","1,770 km","4,339 km",0 km,"7,361,263","3,827,857","3,290,485","125,141","32,000",0,"100,000","1,000","85,000","7,500","123,561","Stock: 83			
Readiness: 29*","Stock: 10 (12.0%)

Readiness: 4*","Stock: 1 (1.2%)

Readiness: 0*","Stock: 12 (14.5%)

Readiness: 4*","Stock: 35 (42.2%)

Readiness: 12*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 22 (26.5%)

Readiness: 8*","Stock: 4 (4.8%)

Readiness: 1*","Stock: 55				
Readiness: 22*","Stock: 2,728            	
Readiness: 1,091*","Stock: 20				
Readiness: 8*","Stock: 38				
Readiness: 15*","Stock: 25				
Readiness: 10*",0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,"1,245,000 bbl","207,000 bbl","+1,038,000 bbl","48,363,000,000 bbl","11,832,000,000 cu.m","9,212,000,000 cu.m","+2,620,000,000 cu.m","1,505,000,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,89.0%,"2,585,000",96,14,75,"34,000 km",0 km,1.7872
Paraguay,"$112,919,000,000 USD","$9,886,000,000 USD","$416,800,000 USD","$13,783,000,000 USD","406,752 km",LANDLOCKED,"4,655 km","3,100 km","7,522,549","3,535,598","3,001,497","150,451","15,650","168,500","14,800","1,100","180,000","5,400","148,552","Stock: 49			
Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (8.2%)

Readiness: 2*","Stock: 12 (24.5%)

Readiness: 7*","Stock: 14 (28.6%)

Readiness: 8*","Stock: 1 (2.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 18 (36.7%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10				
Readiness: 6*","Stock: 2,876            	
Readiness: 1,582*","Stock: 6				
Readiness: 3*","Stock: 50				
Readiness: 28*","Stock: 0				
Readiness: 0*",,,,,,,,,"2,000 bbl","52,000 bbl","-50,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,700 mt,-700 mt,0 mt,78.0%,"3,502,000",108,1,83,"78,811 km",30 km,1.7974
Bolivia,"$122,200,000,000 USD","$1,977,000,000 USD","$467,670,000 USD","$11,174,000,000 USD","1,098,581 km",LANDLOCKED,"7,252 km","10,000 km","12,311,974","5,417,269","4,112,199","233,928","40,000","40,000",0,"10,000","43,000","4,500","230,975","Stock: 67			
Readiness: 37*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (22.4%)

Readiness: 8*","Stock: 20 (29.9%)

Readiness: 11*","Stock: 2 (3.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 29 (43.3%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 54				
Readiness: 30*","Stock: 764            	
Readiness: 420*","Stock: 0				
Readiness: 0*","Stock: 58				
Readiness: 32*","Stock: 0				
Readiness: 0*",,,,,,,,,"58,000 bbl","100,000 bbl","-42,000 bbl","240,900,000 bbl","13,760,000,000 cu.m","3,055,000,000 cu.m","+10,705,000,000 cu.m","302,990,000,000 cu.m",0 mt,"9,000 mt","-9,000 mt","1,000,000 mt",70.0%,"6,859,000",50,0,201,"90,568 km","3,690 km",1.8301
Cambodia,"$123,676,000,000 USD","$22,506,000,000 USD","$750,000,000 USD","$8,019,000,000 USD","181,035 km",443 km,"2,530 km","3,700 km","17,063,669","8,190,561","5,733,393","307,146","124,300",0,"10,000","1,500","75,000","2,800","303,268","Stock: 24			
Readiness: 13*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (16.7%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (83.3%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 520				
Readiness: 286*","Stock: 5,439            	
Readiness: 2,991*","Stock: 30				
Readiness: 17*","Stock: 525				
Readiness: 289*","Stock: 521				
Readiness: 287*",0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0 bbl,"77,000 bbl","-77,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"27,000 mt","4,390,000 mt","-4,363,000 mt",0 mt,61.0%,"9,904,000",195,2,12,"61,810 km",642 km,1.8434
Kenya,"$328,632,000,000 USD","$10,067,000,000 USD","$1,651,803,025 USD","$31,451,000,000 USD","580,367 km",536 km,"3,457 km",0 km,"58,246,378","21,551,160","14,037,377","931,942","50,000",0,"25,000","4,175","50,000","2,500","920,177","Stock: 154			
Readiness: 85*","Stock: 17 (11.0%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 21 (13.6%)

Readiness: 12*","Stock: 30 (19.5%)

Readiness: 17*","Stock: 2 (1.3%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 84 (54.5%)

Readiness: 46*","Stock: 2 (1.3%)

Readiness: 1*","Stock: 188				
Readiness: 103*","Stock: 9,114            	
Readiness: 5,013*","Stock: 18				
Readiness: 10*","Stock: 53				
Readiness: 29*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0 bbl,"113,000 bbl","-113,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,"1,453,000 mt","-1,453,000 mt",0 mt,35.0%,"23,781,000",26,4,368,"161,452 km","3,819 km",1.8588
Chad,"$52,895,000,000 USD","$1,050,000,000 USD","$706,800,000 USD","$2,286,000,000 USD","1,284,000 km",LANDLOCKED,"6,406 km","12,400 km","19,093,595","6,873,694","3,856,906","381,872","37,750",0,"5,000",350,"37,750",0,"377,051","Stock: 40			
Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (17.5%)

Readiness: 4*","Stock: 7 (17.5%)

Readiness: 4*","Stock: 8 (20.0%)

Readiness: 4*","Stock: 2 (5.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (40.0%)

Readiness: 8*","Stock: 3 (7.5%)

Readiness: 2*","Stock: 90				
Readiness: 50*","Stock: 4,345            	
Readiness: 2,390*","Stock: 10				
Readiness: 6*","Stock: 13				
Readiness: 7*","Stock: 16				
Readiness: 9*",,,,,,,,,"124,000 bbl","15,000 bbl","+109,000 bbl","1,500,000,000 bbl",0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,0 mt,0 mt,0 mt,13.0%,"6,600,000",0,0,44,"40,000 km",0 km,1.8594
Oman,"$193,591,000,000 USD","$18,287,000,000 USD","$8,364,000,000 USD","$55,986,700,000 USD","309,500 km","2,092 km","1,561 km",0 km,"3,901,992","1,482,757","1,291,559","50,726","100,000",0,"10,000","6,145","100,000","4,200","50,086","Stock: 128			
Readiness: 70*","Stock: 29 (22.7%)

Readiness: 16*","Stock: 10 (7.8%)

Readiness: 6*","Stock: 9 (7.0%)

Readiness: 5*","Stock: 45 (35.2%)

Readiness: 25*","Stock: 4 (3.1%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 31 (24.2%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 264				
Readiness: 145*","Stock: 11,380            	
Readiness: 6,259*","Stock: 24				
Readiness: 13*","Stock: 144				
Readiness: 79*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,"1,056,000 bbl","218,000 bbl","+838,000 bbl","5,375,000,000 bbl","40,754,000,000 cu.m","27,364,000,000 cu.m","+13,390,000,000 cu.m","651,287,000,000 cu.m",0 mt,"82,000 mt","-82,000 mt",0 mt,95.0%,"2,696,000",57,7,37,"60,230 km",0 km,1.8823
Syria,"$98,858,000,000 USD","$307,766,250 USD","$145,925,000 USD","$4,441,250,000 USD","187,437 km",193 km,"2,363 km",900 km,"23,865,423","15,273,871","13,245,310","668,232","100,000",0,"50,000","7,500","100,000","3,250","659,796","Stock: 104			
Readiness: 42*","Stock: 52 (50.0%)

Readiness: 21*","Stock: 5 (4.8%)

Readiness: 2*","Stock: 2 (1.9%)

Readiness: 1*","Stock: 8 (7.7%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 39 (37.5%)

Readiness: 16*","Stock: 7 (6.7%)

Readiness: 3*","Stock: 168				
Readiness: 84*","Stock: 18,736            	
Readiness: 9,368*","Stock: 60				
Readiness: 30*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,"65,000 bbl","102,000 bbl","-37,000 bbl","2,500,000,000 bbl","3,085,000,000 cu.m","3,084,000,000 cu.m","+1,000,000 cu.m","240,693,000,000 cu.m",0 mt,"15,000 mt","-15,000 mt",0 mt,35.0%,"6,617,000",24,3,42,"69,873 km","2,052 km",1.8861
